order_item_id,order_id,product_id,quantity,price,total
1,1,97,2,785.47,1570.94
2,1,81,1,52.18,52.18
3,1,3,1,292.39,292.39
4,2,3,2,91.12,182.24
5,3,60,3,950.27,2850.81
6,4,75,1,122.23,122.23
7,4,49,1,525.85,525.85
8,4,16,2,767.92,1535.84
9,5,12,2,637.39,1274.78
10,6,56,1,235.56,235.56
11,6,37,1,706.39,706.39
12,6,57,3,656.47,1969.41
13,6,6,1,47.17,47.17
14,7,43,3,305.05,915.15
15,7,83,3,589.63,1768.89
16,7,17,3,480.68,1442.04
17,8,74,3,683.67,2051.01
18,8,84,2,314.3,628.6
19,8,40,3,246.53,739.59
20,8,56,3,352.18,1056.54
21,9,6,3,229.9,689.7
22,9,84,2,215.89,431.78
23,9,28,2,297.11,594.22
24,9,18,1,308.56,308.56
25,9,42,3,916.8,2750.4
26,10,63,1,526.82,526.82
27,11,31,2,70.22,140.44
28,11,98,2,871.94,1743.88
29,12,34,2,649.01,1298.02
30,12,79,3,830.81,2492.43
31,13,52,3,252.29,756.87
32,13,78,1,771.78,771.78
33,13,94,1,264.28,264.28
34,13,28,3,907.73,2723.19
35,14,3,2,703.26,1406.52
36,14,93,3,868.56,2605.68
37,14,70,3,420.61,1261.83
38,14,81,1,843.11,843.11
39,14,14,2,16.17,32.34
40,15,49,1,740.3,740.3
41,15,7,3,582.06,1746.18
42,15,58,1,79.07,79.07
43,15,2,3,504.07,1512.21
44,15,15,2,969.81,1939.62
45,16,72,1,227.53,227.53
46,16,3,1,858.77,858.77
47,16,70,2,383.44,766.88
48,16,14,3,185.54,556.62
49,16,13,2,60.31,120.62
50,17,33,2,265.53,531.06
51,17,53,2,995.35,1990.7
52,17,48,2,236.23,472.46
53,17,20,2,223.71,447.42
54,18,17,2,406.01,812.02
55,19,58,2,177.17,354.34
56,19,21,3,358.52,1075.56
57,19,64,3,641.03,1923.09
58,19,40,2,284.41,568.82
59,19,5,3,65.56,196.68
60,20,83,3,619.18,1857.54
61,20,58,1,469.44,469.44
62,20,30,3,225.14,675.42
63,20,98,2,775.35,1550.7
64,20,13,2,42.59,85.18
65,21,23,2,938.19,1876.38
66,21,11,2,835.26,1670.52
67,21,99,2,451.1,902.2
68,22,43,1,849.07,849.07
69,22,34,1,373.75,373.75
70,22,56,2,288.22,576.44
71,22,45,3,661.63,1984.89
72,23,77,2,740.1,1480.2
73,23,37,3,986.1,2958.3
74,24,12,3,675.12,2025.36
75,24,74,1,836.2,836.2
76,24,94,2,560.35,1120.7
77,25,77,3,488.19,1464.57
78,25,55,1,26.78,26.78
79,25,25,3,809.12,2427.36
80,26,32,3,395.81,1187.43
81,26,42,3,169.78,509.34
82,26,23,2,672.09,1344.18
83,26,1,3,802.83,2408.49
84,27,85,3,126.33,378.99
85,27,56,2,845.78,1691.56
86,27,35,1,797.97,797.97
87,28,89,1,195.18,195.18
88,28,25,2,159.98,319.96
89,28,46,2,389.07,778.14
90,28,72,1,148.51,148.51
91,29,93,1,832.13,832.13
92,29,27,3,260.29,780.87
93,29,16,3,363.91,1091.73
94,29,10,1,578.18,578.18
95,30,35,1,871.5,871.5
96,30,81,2,774.09,1548.18
97,30,62,2,12.58,25.16
98,31,70,3,640.77,1922.31
99,31,66,2,649.34,1298.68
100,31,68,1,698.93,698.93
101,31,57,1,473.98,473.98
102,32,51,1,210.28,210.28
103,32,5,3,665.97,1997.91
104,33,28,2,532.31,1064.62
105,33,14,3,784.31,2352.93
106,33,20,2,473.03,946.06
107,33,58,1,248.37,248.37
108,33,53,1,452.12,452.12
109,34,57,2,437.8,875.6
110,34,79,2,912.04,1824.08
111,34,66,1,583.14,583.14
112,34,38,2,540.19,1080.38
113,35,82,3,461.05,1383.15
114,35,38,3,687.87,2063.61
115,35,74,2,272.87,545.74
116,35,79,1,788.63,788.63
117,36,54,2,350.49,700.98
118,36,64,1,988.25,988.25
119,37,53,3,265.06,795.18
120,37,78,1,910.36,910.36
121,37,43,1,407.9,407.9
122,37,55,2,648.28,1296.56
123,38,98,1,37.55,37.55
124,38,10,2,128.69,257.38
125,39,14,2,453.47,906.94
126,39,2,2,247.86,495.72
127,40,27,3,682.49,2047.47
128,41,25,1,107.19,107.19
129,41,41,3,941.74,2825.22
130,42,66,1,110.76,110.76
131,43,36,3,818.89,2456.67
132,43,21,1,426.82,426.82
133,43,69,1,869.49,869.49
134,43,77,1,503.72,503.72
135,44,83,2,955.3,1910.6
136,44,10,1,357.48,357.48
137,44,100,3,894.72,2684.16
138,44,73,2,546.9,1093.8
139,44,13,2,487.77,975.54
140,45,12,2,582.31,1164.62
141,45,11,1,675.7,675.7
142,45,100,2,18.23,36.46
143,46,24,1,717.42,717.42
144,46,46,1,293.96,293.96
145,46,5,1,413.93,413.93
146,46,84,1,810.87,810.87
147,47,64,3,641.25,1923.75
148,47,17,1,933.49,933.49
149,47,44,1,640.49,640.49
150,48,90,1,869.6,869.6
151,48,55,3,104.69,314.07
152,48,100,1,341.32,341.32
153,48,54,1,70.66,70.66
154,48,68,2,38.96,77.92
155,49,62,3,890.66,2671.98
156,49,64,3,23.55,70.65
157,49,18,3,617.43,1852.29
158,50,9,1,566.94,566.94
159,50,79,2,644.7,1289.4
160,50,24,2,533.78,1067.56
161,50,54,2,55.31,110.62
162,50,69,1,422.23,422.23
163,51,98,2,559.8,1119.6
164,52,15,2,47.71,95.42
165,52,29,2,985.71,1971.42
166,53,68,3,973.81,2921.43
167,54,36,1,581.08,581.08
168,55,80,1,605.15,605.15
169,55,20,1,913.92,913.92
170,56,95,3,394.8,1184.4
171,56,51,1,485.47,485.47
172,56,81,1,985.03,985.03
173,57,64,2,516.57,1033.14
174,57,42,3,452.18,1356.54
175,57,67,3,537.05,1611.15
176,58,79,1,68.72,68.72
177,58,22,2,233.03,466.06
178,58,16,2,939.64,1879.28
179,58,20,3,785.95,2357.85
180,58,27,1,140.36,140.36
181,59,86,3,179.6,538.8
182,59,99,2,260.38,520.76
183,59,15,2,595.09,1190.18
184,59,87,1,553.35,553.35
185,60,63,2,295.88,591.76
186,60,83,1,508.81,508.81
187,60,52,2,364.83,729.66
188,61,59,3,57.79,173.37
189,61,61,3,832.16,2496.48
190,61,74,1,738.02,738.02
191,62,97,2,221.38,442.76
192,62,53,3,836.81,2510.43
193,62,31,2,843.21,1686.42
194,63,82,3,369.3,1107.9
195,63,3,2,832.58,1665.16
196,63,44,3,248.53,745.59
197,64,47,1,19.52,19.52
198,64,95,2,749.18,1498.36
199,64,5,3,583.56,1750.68
200,64,94,1,120.87,120.87
201,65,13,3,879.53,2638.59
202,65,30,2,991.42,1982.84
