order_id,customer_id,order_date,total_amount,status,num_items
1,159,2025-03-28 17:43:10,845.35,Shipped,1
2,520,2025-05-19 21:48:39,5647.26,Cancelled,5
3,829,2025-11-26 09:08:48,777.14,Delivered,2
4,993,2026-02-17 23:49:23,4657.89,Cancelled,4
5,926,2025-10-25 20:25:58,4009.73,Shipped,2
6,788,2026-06-09 01:40:19,2780.66,Delivered,3
7,894,2025-03-04 03:28:40,3983.22,Pending,3
8,872,2025-04-27 19:25:15,89.36,Shipped,1
9,280,2025-01-06 09:40:58,3899.41,Cancelled,4
10,55,2025-09-19 20:17:30,5996.57,Cancelled,4
11,666,2026-04-04 09:14:58,2819.18,Processing,3
12,778,2025-07-20 06:25:18,5972.08,Delivered,4
13,541,2025-06-03 11:46:27,3402.09,Pending,4
14,65,2026-02-04 22:21:44,599.15,Delivered,1
15,648,2026-04-23 07:29:06,2398.71,Cancelled,5
16,537,2025-12-20 09:36:59,5505.48,Pending,3
17,895,2025-12-04 18:54:02,2940.92,Pending,4
18,673,2025-02-07 16:55:05,1473.53,Cancelled,1
19,137,2025-12-27 23:48:48,1646.18,Shipped,1
20,180,2025-08-07 19:31:43,863.64,Delivered,4
21,908,2025-01-31 22:45:15,2801.28,Shipped,1
22,408,2025-04-05 09:52:59,4316.52,Delivered,5
23,448,2026-01-16 07:12:16,4245.34,Delivered,4
24,274,2025-12-24 11:41:42,253.33,Delivered,1
25,843,2025-10-13 03:19:00,554.73,Cancelled,2
26,303,2025-02-08 21:26:16,1908.69,Delivered,3
27,745,2026-04-11 12:17:16,2879.67,Cancelled,3
28,416,2026-06-18 03:11:34,3015.59,Cancelled,3
29,695,2025-10-14 20:11:03,2827.22,Pending,4
30,696,2025-07-15 23:42:45,3498.31,Shipped,4
31,984,2025-11-27 15:40:13,1474.5,Pending,1
32,531,2025-09-20 02:44:34,4336.26,Cancelled,4
33,205,2026-06-09 06:50:33,1707.4,Processing,1
34,177,2025-08-19 00:31:57,4433.59,Pending,4
35,872,2025-01-19 06:38:14,2613.66,Processing,2
36,812,2026-02-26 13:33:55,1885.78,Processing,2
37,378,2025-07-27 13:37:52,4240.0,Cancelled,4
38,788,2025-05-19 19:44:05,3899.94,Cancelled,4
39,656,2025-08-16 18:23:02,4361.4,Processing,5
40,231,2025-10-05 04:49:31,3574.03,Cancelled,3
41,129,2025-11-20 22:33:58,4480.14,Cancelled,3
42,176,2025-01-14 14:34:39,4836.28,Cancelled,5
43,427,2025-12-14 00:23:57,6629.29,Pending,5
44,75,2025-09-10 03:35:21,885.92,Processing,1
45,476,2025-08-20 05:13:11,2942.63,Shipped,2
46,752,2026-05-09 23:34:36,1436.21,Delivered,3
47,126,2025-01-28 15:54:47,2094.94,Delivered,3
48,255,2026-04-08 18:07:25,3119.25,Shipped,2
49,511,2025-03-28 17:55:38,5240.71,Delivered,5
50,50,2025-10-05 11:31:11,1493.74,Shipped,1
51,689,2025-01-29 10:30:13,3605.85,Shipped,4
